City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-32.39,98,100,0.28,RU,1702947365
1,port elizabeth,-33.918,25.5701,17.28,92,0,2.06,ZA,1702947365
2,talnakh,69.4865,88.3972,-12.66,74,100,9.87,RU,1702947365
3,margaret river,-33.95,115.0667,20.27,42,0,4.89,AU,1702947366
4,hermanus,-34.4187,19.2345,13.78,77,0,4.39,ZA,1702947366
5,stanley,54.868,-1.6985,8.77,84,100,3.97,GB,1702947082
6,mount gambier,-37.8333,140.7667,17.37,44,4,5.17,AU,1702947366
7,puerto natales,-51.7236,-72.4875,9.21,77,97,2.34,CL,1702947366
8,west island,-12.1568,96.8225,27.99,69,27,2.57,CC,1702947366
9,winsford,53.1833,-2.5167,11.4,96,100,2.2,GB,1702947366
10,enewetak,11.3474,162.3373,27.28,77,62,8.72,MH,1702947366
11,saipan,15.1355,145.701,29.39,84,75,7.72,MP,1702947366
12,avarua,-21.2078,-159.775,27.03,78,75,5.66,CK,1702947366
13,akureyri,65.6835,-18.0878,-4.04,93,20,0.0,IS,1702947366
14,waitangi,-43.9535,-176.5597,16.57,74,20,1.34,NZ,1702947367
15,college,64.8569,-147.8028,-13.03,72,100,0.0,US,1702947367
16,newman,37.3138,-121.0208,18.19,92,100,0.45,US,1702947367
17,bredasdorp,-34.5322,20.0403,14.46,74,0,1.68,ZA,1702947367
18,susuman,62.7833,148.1667,-34.36,100,97,0.55,RU,1702947367
19,port-aux-francais,-49.35,70.2167,7.88,92,97,16.3,TF,1702947367
20,lebu,-37.6167,-73.65,11.95,81,1,8.17,CL,1702947367
21,invercargill,-46.4,168.35,20.54,37,100,1.72,NZ,1702947367
22,ushuaia,-54.8,-68.3,11.81,71,0,9.77,AR,1702947367
23,lihue,21.9789,-159.3672,26.58,71,75,9.26,US,1702947367
24,fairwood,47.4484,-122.1573,8.17,93,100,0.89,US,1702947367
25,taltal,-25.4,-70.4833,18.51,79,8,1.71,CL,1702947367
26,hami,42.8,93.45,-13.9,56,0,1.66,CN,1702947367
27,afaahiti,-17.75,-149.2833,28.93,85,100,4.56,PF,1702947368
28,kununurra,-15.7667,128.7333,33.99,66,98,2.57,AU,1702947368
29,vorgashor,67.5833,63.95,-15.06,88,100,5.09,RU,1702947368
30,grytviken,-54.2811,-36.5092,1.66,83,17,1.56,GS,1702947368
31,punta arenas,-53.15,-70.9167,13.06,62,0,9.26,CL,1702947368
32,el calafate,-50.3408,-72.2768,13.52,71,96,4.95,AR,1702947368
33,island harbour,50.724,-1.2758,12.74,90,98,5.81,GB,1702947368
34,ryotsu-minato,38.0833,138.4333,3.92,82,100,3.26,JP,1702947368
35,ketchikan,55.3422,-131.6461,4.26,87,100,3.09,US,1702947368
36,santiago de cao,-7.9589,-79.2392,21.07,88,40,4.63,PE,1702947368
37,anadyr,64.75,177.4833,-18.72,77,0,5.81,RU,1702947369
38,whitehorse,60.7161,-135.0538,-11.22,87,20,1.03,CA,1702947285
39,thompson,55.7435,-97.8558,-8.91,86,20,3.6,CA,1702947369
40,edinburgh of the seven seas,-37.0676,-12.3116,14.85,78,70,8.88,SH,1702947369
41,puerto ayora,-0.7393,-90.3518,24.75,94,56,1.34,EC,1702947369
42,bafoulabe,13.8065,-10.8321,20.19,17,30,3.16,ML,1702947369
43,lerwick,60.1545,-1.1494,7.0,68,19,11.54,GB,1702947369
44,ilulissat,69.2167,-51.1,-8.99,57,100,9.26,GL,1702947369
45,mount pearl,47.5166,-52.7813,6.03,92,75,10.29,CA,1702947369
46,santa ana,33.7456,-117.8678,23.29,47,75,2.06,US,1702947246
47,blackmans bay,-43.0167,147.3167,16.96,56,93,5.04,AU,1702947369
48,aykhal,66.0,111.5,-22.92,89,91,1.55,RU,1702947369
49,sao jose da coroa grande,-8.8978,-35.1478,25.46,85,94,3.44,BR,1702947140
50,barra de santo antonio,-9.4047,-35.5072,24.6,82,99,3.92,BR,1702947370
51,hithadhoo,-0.6,73.0833,27.97,76,46,3.14,MV,1702947370
52,upata,8.0086,-62.3989,27.33,68,30,1.89,VE,1702947370
53,calama,-22.4667,-68.9333,20.27,26,0,9.26,CL,1702947248
54,adamstown,-25.066,-130.1015,22.82,79,100,7.0,PN,1702947370
55,wanning,18.8003,110.3967,23.64,86,58,4.47,CN,1702947370
56,touros,-5.1989,-35.4608,26.65,79,100,4.44,BR,1702947370
57,sungai penuh,-2.0833,101.3833,18.9,97,100,0.65,ID,1702947370
58,kruisfontein,-34.0033,24.7314,16.05,92,13,0.45,ZA,1702947370
59,nizhnyaya poyma,56.1622,97.1933,-32.8,100,14,1.27,RU,1702947370
60,albany,42.6001,-73.9662,7.23,82,100,4.18,US,1702947103
61,qamdo,31.1667,97.2333,-9.19,62,8,1.1,CN,1702947370
62,menongue,-14.6585,17.691,18.36,97,100,2.76,AO,1702947370
63,berezovyy,51.6667,135.7,-20.12,93,99,1.05,RU,1702947370
64,tiksi,71.6872,128.8694,-19.34,91,100,6.31,RU,1702947370
65,isafjordur,66.0755,-23.124,-0.36,73,100,6.81,IS,1702947371
66,n'dalatando,-9.2978,14.9116,20.06,98,100,0.41,AO,1702947371
67,qaqortoq,60.7167,-46.0333,-5.01,88,100,4.1,GL,1702947371
68,east london,-33.0153,27.9116,18.64,83,8,3.96,ZA,1702947371
69,happy valley-goose bay,53.3168,-60.3315,8.17,76,100,7.2,CA,1702947371
70,pisco,-13.7,-76.2167,21.03,88,0,8.23,PE,1702947371
71,sitka,57.0531,-135.33,1.94,75,0,0.0,US,1702947371
72,ust'-ilimsk,58.0006,102.6619,-36.42,100,22,1.26,RU,1702947371
73,jakar,27.5492,90.7525,0.24,70,12,1.76,BT,1702947371
74,guerrero negro,27.9769,-114.0611,20.66,50,80,4.66,MX,1702947371
75,wamba,8.9333,8.6,23.57,25,12,1.77,NG,1702947371
76,constantia,44.1833,28.65,3.38,76,5,4.15,RO,1702947246
77,port mathurin,-19.6833,63.4167,26.05,83,20,2.57,MU,1702947371
78,hawaiian paradise park,19.5933,-154.9731,21.61,94,100,1.54,US,1702947371
79,tindouf,27.6711,-8.1474,9.25,43,0,1.03,DZ,1702947372
80,mahibadhoo,3.7833,72.9667,28.18,73,24,0.46,MV,1702947372
81,quebo,11.3333,-14.9333,22.78,39,100,1.79,GW,1702947372
82,alofi,-19.0595,-169.9187,28.94,74,75,9.26,NU,1702947372
83,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,83,75,7.0,RU,1702947372
84,guroymak,38.5774,42.0281,-1.19,66,97,2.09,TR,1702947372
85,arawa,-6.2132,155.5367,30.31,72,100,1.0,PG,1702947372
86,ghat,24.9647,10.1728,8.73,66,0,4.3,LY,1702947372
87,itambacuri,-18.0311,-41.685,22.59,80,18,2.63,BR,1702947372
88,port augusta,-32.5,137.7667,21.94,42,35,11.49,AU,1702947372
89,vadso,70.0744,29.7487,-0.91,80,20,11.83,NO,1702947373
90,nguigmi,14.2495,13.1092,21.01,34,2,5.1,NE,1702947373
91,purna,19.1833,77.05,15.91,41,100,2.88,IN,1702947373
92,badger,64.8,-147.5333,-13.07,72,100,0.0,US,1702947373
93,sabha,27.0377,14.4283,11.37,57,0,5.77,LY,1702947373
94,jelgava,56.65,23.7128,7.02,97,100,5.95,LV,1702947373
95,priozersk,61.0393,30.1291,0.05,95,100,5.15,RU,1702947373
96,adam,22.3756,57.5233,14.93,69,0,1.52,OM,1702947373
97,dobryanka,58.4619,56.4165,-7.22,95,100,3.25,RU,1702947373
98,prince george,53.9166,-122.753,0.14,97,100,3.6,CA,1702947310
99,mazagao,-0.115,-51.2894,29.03,78,28,2.27,BR,1702947374
100,hamilton,39.1834,-84.5333,-0.43,72,100,8.05,US,1702946821
101,san antonio de pale,-1.4014,5.6325,27.15,79,100,3.32,GQ,1702947374
102,usinsk,65.9939,57.5281,-11.07,93,100,8.49,RU,1702947374
103,ilinge,-31.9768,27.0427,12.07,90,100,1.57,ZA,1702947374
104,machico,32.7,-16.7667,19.35,75,40,4.12,PT,1702947374
105,puerto armuelles,8.2833,-82.8667,27.87,78,100,0.45,PA,1702947374
106,chernyshevskiy,63.0128,112.4714,-38.77,100,76,1.09,RU,1702947374
107,pacific grove,36.6177,-121.9166,17.82,88,100,7.15,US,1702947104
108,taro,-8.3862,115.28,25.0,58,67,1.7,ID,1702947374
109,wangjing,24.6,94.0333,9.99,87,11,0.54,IN,1702947374
110,yellowknife,62.456,-114.3525,-20.71,77,75,5.66,CA,1702947375
111,keflavik,64.0049,-22.5624,2.24,75,75,7.2,IS,1702947375
112,mansa,29.9833,75.3833,10.03,40,0,2.82,IN,1702947375
113,ancud,-41.8697,-73.8203,11.58,65,0,3.35,CL,1702947375
114,naze,28.3667,129.4833,20.51,70,80,7.53,JP,1702947375
115,tolanaro,-25.0319,46.9987,24.04,83,75,0.0,MG,1702947375
116,port saint john's,-31.6229,29.5448,20.62,88,100,4.1,ZA,1702947375
117,kodiak,57.79,-152.4072,-2.27,74,100,1.54,US,1702947375
118,jamestown,42.097,-79.2353,2.77,100,100,8.23,US,1702947336
119,hirara,24.8,125.2833,24.92,78,75,6.17,JP,1702947375
120,uren',57.4552,45.7852,-3.64,95,76,3.12,RU,1702947375
121,sattenapalle,16.4,80.1833,18.37,83,60,1.42,IN,1702947375
122,fortuna,40.5982,-124.1573,17.19,95,100,8.75,US,1702947375
123,iqaluit,63.7506,-68.5145,-17.15,66,100,2.57,CA,1702947376
